date,Potatoes,Pumpkins,highlight,annotate
08/14,100,100,,
09/14,99.99271316,101.1176855,,
10/14,99.92633304,102.8112639,begin,Begins
11/14,99.57769126,102.9851261,,
12/14,99.61471012,103.048196,end,Ends
01/15,99.56355964,104.1531676,,
02/15,99.61901663,103.5360454,,
03/15,99.82349021,104.3183117,,
04/15,99.62691665,104.0014639,,
05/15,99.57396941,104.5330854,,
06/15,99.57198728,105.0733795,,
07/15,99.34214523,105.2773917,,
08/15,99.03006599,105.3680688,begin,Begins
09/15,98.8567219,105.059031,,
10/15,98.58733698,104.262734,,
11/15,97.67916286,102.1682145,,
12/15,97.82796555,102.1872399,,
01/16,97.83265708,101.42132,end,Ends
02/16,99.41020802,102.5868187,,
03/16,105.72458312,103.3314429,,Estimate
04/16,99.79264591,103.6359401,,
05/16,99.25618618,103.4860072,,
06/16,99.147839,104.3363382,,
07/16,99.52085106,105.612266,,
