,Company,The quick brown fox jumped,Price|(in Yen)
1,Bandai,Kamen Rider Double Prismbicker,"6,825"
2,Bandai,Kamen Rider Henshinbelt DX Doubledriver,"6,825"
3,Bandai,Gosei Headder Series DX Gosei Great,"7,875"
4,Tomy,Beyblade BB-76 Galaxy Pegasus DX Set,"3,780"
5,Tomy,Beyblade BB-70 Starter Galaxy Pegasus,"1,600"
6,Bandai,Heartcatch Precure! Kokoro pot,"4,935"
7,Tomy,Beyblade BB-71 Starter Rey Unicorno,"1,600"
8,Tomy,Beyblade BB-75 Beyblade Deck Entry set,"2,625"
9,Bandai,Heartcatch Precure! Shipure & Kofure| — My Heart is always with you — ,"6,195"
10,Bandai,Even row — Gosei Headder Series|DX Datas Hyper,"5,775"
11,Bandai,Odd row,"5,775"
