x,y,cat,label
40538,30,Developed,
47960,54,Developed,
35131,13,Developed,
35379,14,Developed,
44967,17,Developed,
5808,9,Developed,
43139,28,Developed,
33835,14,Developed,
24449,16,Developed,
17950,11,Developed,
16155,5,Developed,
58149,18,Developed,
46550,10,Developed,
52311,23,Developed,
56347,22,Developed,
25145,12,Developed,
15579,11,Developed,
25247,7,Developed,
46219,13,Developed,
51284,46,Developed,
19698,5,Developed,
10651,3,Developed,
46640,12,Developed,
67166,6,Developed,
30047,7,Developed,
40661,5,Developed,
44625,9,Developed,
5656,6,Developed,
50686,11,Developed,
25019,7,Developed,
13094,3,Developed,
6054,2,Developed,
27069,5,Developed,
33136,5,Developed,
23057,4,Developed,
6974,3,Developed,
28279,5,Developed,
22302,2,Developed,
13480,2,BRICS,
19744,4,BRICS,
24108,10,BRICS,
17759,2,BRICS,
25954,4,BRICS,
10918,2,BRICS,
13888,2,BRICS,
8681,10,BRICS,
35305,4,BRICS,
11860,2,BRICS,
43847,3,BRICS,
4749,3,BRICS,
3391,3,BRICS,
7813,3,BRICS,
7270,2,BRICS,
17761,3,BRICS,
18246,4,BRICS,
11303,2,BRICS,
20947,4,BRICS,
10410,2,BRICS,
7550,1,BRICS,
14014,2,BRICS,
1178,3,BRICS,
3099,1,BRICS,
3276,2,BRICS,
21055,1,BRICS,
4137,1,BRICS,
4087,1,Test,
3788,1,Test,
2742,1,Test,
1939,1,Test,
3007,1,Test,
2352,1,Test,
1742,1,Test,
1688,2,Test,
1257,1,Test,
1703,1,Test,
13224,34,Test,
44370,53,Test,
46216,52,Test,
39826,41,Test,
37519,11,Test,
53066,60,Test,
