date,Sales,Net profit,highlight,annotate
01/17,100,100,,
02/17,99.61901663,103.5360454,,
03/17,99.82349021,104.3183117,,
04/17,99.62691665,104.0014639,,
05/17,99.57396941,104.5330854,,
06/17,99.57198728,105.0733795,,
07/17,99.34214523,105.2773917,,
08/17,99.03006599,105.3680688,,
09/17,98.8567219,105.059031,,
10/17,98.58733698,104.262734,,
11/17,97.67916286,102.1682145,,
12/17,104.82796555,102.1872399,,
01/18,98.83265708,101.42132,,
02/18,99.41020802,102.5868187,,
03/18,99.72458312,103.3314429,,
04/18,99.79264591,103.6359401,,
05/18,99.25618618,103.4860072,,
06/18,99.147839,104.3363382,,
07/18,99.52085106,105.612266,,
